grid_id,grid_x,grid_y,center_x_m,center_y_m
4692_9763,4692,9763,938500.0,1952700.0
4693_9762,4693,9762,938700.0,1952500.0
4693_9763,4693,9763,938700.0,1952700.0
4695_9764,4695,9764,939100.0,1952900.0
4696_9761,4696,9761,939300.0,1952300.0
4696_9764,4696,9764,939300.0,1952900.0
4696_9765,4696,9765,939300.0,1953100.0
4696_9767,4696,9767,939300.0,1953500.0
4698_9752,4698,9752,939700.0,1950500.0
4698_9753,4698,9753,939700.0,1950700.0
4698_9754,4698,9754,939700.0,1950900.0
4699_9749,4699,9749,939900.0,1949900.0
4699_9754,4699,9754,939900.0,1950900.0
4699_9764,4699,9764,939900.0,1952900.0
4700_9751,4700,9751,940100.0,1950300.0
4700_9752,4700,9752,940100.0,1950500.0
4700_9763,4700,9763,940100.0,1952700.0
4701_9713,4701,9713,940300.0,1942700.0
4701_9744,4701,9744,940300.0,1948900.0
4701_9745,4701,9745,940300.0,1949100.0
4701_9746,4701,9746,940300.0,1949300.0
4701_9750,4701,9750,940300.0,1950100.0
4701_9752,4701,9752,940300.0,1950500.0
4702_9744,4702,9744,940500.0,1948900.0
4702_9745,4702,9745,940500.0,1949100.0
4702_9761,4702,9761,940500.0,1952300.0
4702_9762,4702,9762,940500.0,1952500.0
4703_9742,4703,9742,940700.0,1948500.0
4703_9743,4703,9743,940700.0,1948700.0
4703_9744,4703,9744,940700.0,1948900.0
4703_9745,4703,9745,940700.0,1949100.0
4703_9757,4703,9757,940700.0,1951500.0
4703_9758,4703,9758,940700.0,1951700.0
4703_9760,4703,9760,940700.0,1952100.0
4703_9762,4703,9762,940700.0,1952500.0
4703_9764,4703,9764,940700.0,1952900.0
4704_9730,4704,9730,940900.0,1946100.0
4704_9742,4704,9742,940900.0,1948500.0
4704_9743,4704,9743,940900.0,1948700.0
4704_9753,4704,9753,940900.0,1950700.0
4704_9756,4704,9756,940900.0,1951300.0
4704_9757,4704,9757,940900.0,1951500.0
4704_9759,4704,9759,940900.0,1951900.0
4704_9762,4704,9762,940900.0,1952500.0
4705_9717,4705,9717,941100.0,1943500.0
4705_9745,4705,9745,941100.0,1949100.0
4705_9751,4705,9751,941100.0,1950300.0
4705_9757,4705,9757,941100.0,1951500.0
4705_9758,4705,9758,941100.0,1951700.0
4705_9759,4705,9759,941100.0,1951900.0
4706_9743,4706,9743,941300.0,1948700.0
4706_9745,4706,9745,941300.0,1949100.0
4706_9751,4706,9751,941300.0,1950300.0
4706_9752,4706,9752,941300.0,1950500.0
4706_9753,4706,9753,941300.0,1950700.0
4706_9756,4706,9756,941300.0,1951300.0
4706_9757,4706,9757,941300.0,1951500.0
4706_9758,4706,9758,941300.0,1951700.0
4706_9759,4706,9759,941300.0,1951900.0
4706_9760,4706,9760,941300.0,1952100.0
4707_9741,4707,9741,941500.0,1948300.0
4707_9751,4707,9751,941500.0,1950300.0
4707_9752,4707,9752,941500.0,1950500.0
4707_9754,4707,9754,941500.0,1950900.0
4707_9757,4707,9757,941500.0,1951500.0
4707_9758,4707,9758,941500.0,1951700.0
4707_9759,4707,9759,941500.0,1951900.0
4707_9760,4707,9760,941500.0,1952100.0
4707_9761,4707,9761,941500.0,1952300.0
4707_9763,4707,9763,941500.0,1952700.0
4708_9717,4708,9717,941700.0,1943500.0
4708_9718,4708,9718,941700.0,1943700.0
4708_9741,4708,9741,941700.0,1948300.0
4708_9748,4708,9748,941700.0,1949700.0
4708_9753,4708,9753,941700.0,1950700.0
4708_9754,4708,9754,941700.0,1950900.0
4708_9756,4708,9756,941700.0,1951300.0
4708_9757,4708,9757,941700.0,1951500.0
4708_9758,4708,9758,941700.0,1951700.0
4708_9759,4708,9759,941700.0,1951900.0
4708_9760,4708,9760,941700.0,1952100.0
4708_9762,4708,9762,941700.0,1952500.0
4708_9763,4708,9763,941700.0,1952700.0
4709_9722,4709,9722,941900.0,1944500.0
4709_9739,4709,9739,941900.0,1947900.0
4709_9750,4709,9750,941900.0,1950100.0
4709_9752,4709,9752,941900.0,1950500.0
4709_9753,4709,9753,941900.0,1950700.0
4709_9754,4709,9754,941900.0,1950900.0
4709_9756,4709,9756,941900.0,1951300.0
4709_9758,4709,9758,941900.0,1951700.0
4709_9759,4709,9759,941900.0,1951900.0
4709_9760,4709,9760,941900.0,1952100.0
4709_9761,4709,9761,941900.0,1952300.0
4709_9762,4709,9762,941900.0,1952500.0
4710_9713,4710,9713,942100.0,1942700.0
4710_9739,4710,9739,942100.0,1947900.0
4710_9740,4710,9740,942100.0,1948100.0
4710_9741,4710,9741,942100.0,1948300.0
