month,grid_id,count
12,4805_9724,83
12,4803_9730,79
12,4807_9722,49
12,4804_9721,34
12,4796_9719,24
12,4795_9736,23
12,4798_9723,22
12,4807_9721,22
12,4797_9719,21
12,4734_9754,20
12,4799_9716,20
12,4724_9739,19
12,4731_9714,19
12,4755_9747,19
12,4735_9754,18
12,4789_9734,18
12,4793_9729,18
12,4727_9736,17
12,4799_9729,17
12,4803_9724,17
12,4804_9727,17
12,4788_9735,16
12,4789_9736,16
12,4718_9757,15
12,4740_9753,15
12,4743_9750,15
12,4747_9753,15
12,4798_9736,15
12,4706_9759,14
12,4711_9758,14
12,4719_9745,14
12,4742_9749,14
12,4744_9752,14
12,4792_9734,14
12,4798_9709,14
12,4803_9726,14
12,4803_9728,14
12,4711_9756,13
12,4748_9779,13
12,4760_9716,13
12,4794_9725,13
12,4804_9728,13
12,4830_9712,13
12,4837_9735,13
12,4855_9758,13
12,4718_9753,12
12,4726_9745,12
12,4744_9771,12
12,4746_9753,12
12,4748_9714,12
12,4793_9730,12
12,4794_9703,12
12,4799_9737,12
12,4744_9719,11
12,4745_9755,11
12,4746_9749,11
12,4747_9717,11
12,4747_9754,11
12,4795_9729,11
12,4802_9731,11
12,4806_9719,11
12,4854_9750,11
12,4704_9762,10
12,4724_9745,10
12,4727_9722,10
12,4740_9752,10
12,4745_9724,10
12,4750_9789,10
12,4754_9758,10
12,4804_9729,10
12,4812_9806,10
12,4814_9805,10
12,4832_9720,10
12,4834_9717,10
12,4707_9760,9
12,4744_9750,9
12,4744_9751,9
12,4746_9783,9
12,4749_9707,9
12,4750_9755,9
12,4753_9711,9
12,4792_9715,9
12,4795_9722,9
12,4836_9736,9
12,4842_9709,9
12,4701_9744,8
12,4714_9756,8
12,4721_9742,8
12,4724_9740,8
12,4727_9715,8
12,4736_9752,8
12,4738_9755,8
12,4739_9751,8
12,4739_9754,8
12,4741_9778,8
12,4743_9713,8
12,4743_9784,8
12,4744_9789,8
12,4745_9752,8
12,4750_9763,8
12,4752_9713,8
12,4752_9750,8
12,4755_9748,8
12,4757_9712,8
12,4760_9721,8
12,4792_9725,8
12,4793_9718,8
12,4798_9719,8
12,4803_9727,8
12,4831_9720,8
12,4842_9720,8
12,4704_9756,7
12,4705_9757,7
12,4705_9759,7
12,4706_9758,7
12,4710_9757,7
12,4712_9762,7
12,4716_9756,7
12,4717_9754,7
12,4723_9737,7
12,4734_9717,7
12,4734_9720,7
12,4737_9755,7
12,4739_9778,7
12,4742_9802,7
12,4743_9752,7
12,4745_9779,7
12,4747_9779,7
12,4748_9760,7
12,4750_9756,7
12,4753_9722,7
12,4754_9711,7
12,4755_9750,7
12,4757_9713,7
12,4759_9719,7
12,4789_9732,7
12,4793_9737,7
12,4795_9720,7
12,4795_9724,7
12,4797_9724,7
12,4798_9724,7
12,4799_9808,7
12,4802_9721,7
12,4806_9814,7
12,4838_9735,7
12,4841_9709,7
12,4848_9719,7
12,4702_9761,6
12,4703_9760,6
12,4706_9757,6
12,4708_9757,6
12,4712_9756,6
12,4712_9761,6
12,4720_9741,6
12,4723_9743,6
12,4725_9738,6
12,4725_9745,6
12,4726_9744,6
12,4728_9736,6
12,4733_9713,6
12,4733_9755,6
12,4737_9752,6
12,4740_9751,6
12,4740_9764,6
12,4742_9773,6
12,4742_9778,6
12,4745_9719,6
12,4745_9754,6
12,4745_9787,6
12,4745_9802,6
12,4746_9714,6
12,4746_9787,6
12,4748_9715,6
12,4749_9718,6
12,4755_9711,6
12,4755_9772,6
12,4756_9711,6
12,4756_9725,6
12,4758_9713,6
12,4760_9711,6
12,4770_9710,6
12,4788_9733,6
12,4794_9701,6
12,4794_9704,6
12,4794_9718,6
12,4794_9738,6
12,4800_9816,6
12,4805_9733,6
12,4807_9731,6
12,4814_9728,6
12,4832_9717,6
12,4832_9721,6
12,4833_9740,6
12,4836_9739,6
12,4707_9758,5
12,4709_9753,5
12,4709_9762,5
12,4712_9758,5
12,4713_9751,5
12,4713_9752,5
12,4713_9758,5
12,4714_9759,5
12,4715_9755,5
12,4716_9755,5
12,4716_9758,5
12,4718_9755,5
12,4719_9754,5
12,4720_9752,5
12,4721_9735,5
12,4721_9737,5
12,4722_9740,5
12,4723_9739,5
12,4732_9770,5
12,4733_9722,5
12,4735_9753,5
12,4736_9755,5
12,4736_9758,5
12,4738_9752,5
12,4738_9754,5
12,4738_9774,5
12,4739_9779,5
12,4740_9786,5
12,4741_9750,5
12,4742_9750,5
12,4744_9778,5
12,4744_9788,5
12,4745_9718,5
12,4745_9749,5
12,4745_9775,5
12,4745_9781,5
12,4746_9719,5
12,4746_9769,5
12,4749_9728,5
12,4750_9750,5
12,4751_9730,5
12,4753_9714,5
12,4754_9746,5
12,4755_9751,5
12,4756_9718,5
12,4758_9721,5
12,4760_9722,5
12,4762_9710,5
12,4763_9709,5
12,4764_9713,5
12,4771_9716,5
12,4788_9731,5
12,4789_9731,5
12,4791_9715,5
12,4792_9724,5
12,4793_9725,5
12,4794_9714,5
12,4794_9804,5
12,4795_9738,5
12,4796_9806,5
12,4797_9710,5
12,4801_9724,5
12,4805_9725,5
12,4807_9723,5
12,4808_9724,5
12,4811_9808,5
12,4811_9809,5
12,4812_9803,5
12,4824_9724,5
12,4825_9729,5
12,4832_9712,5
12,4833_9712,5
12,4836_9742,5
12,4839_9738,5
12,4843_9717,5
12,4843_9738,5
12,4698_9753,4
12,4702_9762,4
12,4704_9757,4
12,4706_9756,4
12,4707_9751,4
12,4709_9759,4
12,4710_9759,4
12,4712_9757,4
12,4713_9741,4
12,4717_9755,4
12,4721_9738,4
12,4723_9742,4
12,4725_9744,4
12,4728_9711,4
12,4728_9732,4
12,4730_9721,4
12,4731_9713,4
12,4732_9713,4
12,4732_9714,4
12,4732_9740,4
12,4733_9715,4
12,4733_9720,4
12,4734_9696,4
12,4734_9721,4
12,4734_9755,4
12,4740_9783,4
12,4740_9784,4
12,4741_9775,4
12,4742_9785,4
12,4743_9798,4
12,4744_9777,4
12,4744_9798,4
12,4746_9716,4
12,4746_9770,4
12,4746_9782,4
12,4747_9784,4
12,4748_9762,4
12,4749_9711,4
12,4749_9714,4
12,4749_9726,4
12,4749_9782,4
12,4749_9783,4
12,4750_9709,4
12,4751_9750,4
12,4751_9751,4
12,4751_9755,4
12,4751_9799,4
12,4752_9712,4
12,4752_9715,4
12,4753_9715,4
12,4753_9725,4
12,4753_9730,4
12,4754_9719,4
12,4754_9725,4
