month,grid_id,count,count_t,count_t-1,count_t-2
4,4694_9763,2,2.0,2.0,2.0
5,4694_9763,1,1.0,2.0,2.0
10,4694_9763,1,1.0,1.0,2.0
11,4694_9763,2,2.0,1.0,1.0
9,4694_9764,4,4.0,1.0,1.0
10,4694_9764,2,2.0,4.0,1.0
11,4694_9764,1,1.0,2.0,4.0
6,4695_9757,2,2.0,1.0,1.0
9,4695_9757,1,1.0,2.0,1.0
10,4695_9757,1,1.0,1.0,2.0
4,4695_9763,2,2.0,1.0,1.0
11,4695_9763,1,1.0,2.0,1.0
4,4695_9764,2,2.0,1.0,2.0
10,4695_9764,1,1.0,2.0,1.0
4,4695_9765,5,5.0,4.0,1.0
5,4695_9765,10,10.0,5.0,4.0
9,4695_9765,14,14.0,10.0,5.0
10,4695_9765,7,7.0,14.0,10.0
11,4695_9765,3,3.0,7.0,14.0
11,4695_9767,1,1.0,2.0,1.0
10,4696_9761,5,5.0,1.0,1.0
11,4696_9761,2,2.0,5.0,1.0
11,4696_9765,2,2.0,1.0,1.0
11,4696_9766,7,7.0,6.0,1.0
11,4696_9768,1,1.0,4.0,1.0
10,4697_9765,3,3.0,2.0,1.0
11,4697_9765,1,1.0,3.0,2.0
4,4697_9766,1,1.0,1.0,1.0
11,4698_9753,2,2.0,1.0,2.0
5,4698_9756,1,1.0,1.0,1.0
8,4698_9764,1,1.0,1.0,1.0
10,4698_9764,1,1.0,1.0,1.0
11,4698_9764,1,1.0,1.0,1.0
4,4698_9766,1,1.0,1.0,3.0
6,4698_9766,2,2.0,1.0,1.0
10,4698_9766,1,1.0,2.0,1.0
9,4698_9771,1,1.0,1.0,1.0
7,4699_9750,1,1.0,2.0,2.0
3,4699_9761,2,2.0,2.0,1.0
4,4699_9761,3,3.0,2.0,2.0
7,4699_9761,1,1.0,3.0,2.0
11,4699_9764,1,1.0,1.0,1.0
5,4699_9765,2,2.0,2.0,2.0
7,4700_9719,1,1.0,1.0,1.0
6,4700_9749,2,2.0,1.0,2.0
3,4700_9750,1,1.0,3.0,2.0
