주소_clean,roadAddr,lat,lon
서울특별시 동작구 상도동 511,서울특별시 동작구 상도로 369 (상도동),37.4963538,126.9572222
서울특별시 송파구 가락동 100-2,,37.4937262,127.1210612
서울특별시 서초구 양재동 402-17,,37.4712486,127.0499453
서울특별시 서초구 양재동 85-9,,37.4804645,127.0426796
서울특별시 서초구 양재동 7,서울특별시 서초구 강남대로30길 63 (양재동),37.4786863,127.0357946
서울특별시 송파구 가락동 37-2,,37.497975,127.1229445
서울특별시 서초구 서초동 1404,서울특별시 서초구 남부순환로347길 9-2 (서초동),37.4856551,127.031084
서울특별시 금천구 시흥동 1026,"서울특별시 금천구 시흥대로 165 (시흥동, 남서울힐스테이트)",37.447804,126.9012343
서울특별시 서초구 서초동 1327-27,서울특별시 서초구 서초대로74길 27 (서초동),37.4952869,127.0272573
서울특별시 서초구 서초동 1398,,37.4949221,127.0269588
서울특별시 서초구 서초동 1328-7,서울특별시 서초구 강남대로 365 (서초동),37.4953217,127.0283411
서울특별시 서초구 서초동 1396,,37.4959349,127.0277888
서울특별시 동작구 상도동 170-33,서울특별시 동작구 상도로 202 (상도동),37.5049535,126.9410984
서울특별시 서초구 서초동 1319-13,"서울특별시 서초구 강남대로 375 (서초동, 서초현대타워아파트)",37.4964574,127.0280611
서울특별시 서초구 서초동 1327-3,서울특별시 서초구 서초대로78길 22 (서초동),37.49582789999999,127.0273532
서울특별시 서초구 서초동 1374,서울특별시 서초구 강남대로 321-2 (서초동),37.493587,127.0295347
서울특별시 동작구 신대방동 348-3,서울특별시 동작구 보라매로 104 (신대방동),37.4984227,126.9283288
서울특별시 송파구 장지동 765-4,,37.475781,127.1192757
서울특별시 송파구 장지동 917-3,,37.4803029,127.1419791
서울특별시 서초구 서초동 1362-13,서울특별시 서초구 강남대로37길 12-12 (서초동),37.4854641,127.0325281
서울특별시 서초구 서초동 1381,,37.4862957,127.0291731
서울특별시 서초구 서초동 1364-28,서울특별시 서초구 서운로6길 22 (서초동),37.4856827,127.0304967
서울특별시 송파구 문정동 66-11,,37.4843299,127.1252458
서울특별시 송파구 장지동 917-2,,37.4783251,127.1404312
서울특별시 송파구 방이동 72,,37.5096268,127.119469
서울특별시 영등포구 대림동 751-33,서울특별시 영등포구 도림로 203 (대림동),37.4970428,126.9029926
서울특별시 영등포구 대림동 743-4,서울특별시 영등포구 대림로34길 12 (대림동),37.4987046,126.8997028
서울특별시 송파구 방이동 220-2,,37.50911019999999,127.1219289
서울특별시 송파구 방이동 222-13,,37.5074899,127.1207669
서울특별시 강남구 청담동 53-4,서울특별시 강남구 도산대로 544 (청담동),37.5245087,127.0532618
서울특별시 강남구 청담동 53,서울특별시 강남구 도산대로 542 (청담동),37.5245818,127.0530151
서울특별시 강남구 청담동 77,서울특별시 강남구 도산대로 402-2 (청담동),37.5240631,127.0462215
서울특별시 강남구 청담동 4-7,서울특별시 강남구 도산대로 442 (청담동),37.5233934,127.0436578
서울특별시 강남구 청담동 4-8,서울특별시 강남구 도산대로 442 (청담동),37.5233934,127.0436578
서울특별시 영등포구 영등포동 321-2,서울특별시 영등포구 영중로14길 35 (영등포동2가),37.519728,126.9090486
서울특별시 강남구 대치동 943-19,서울특별시 강남구 테헤란로 512 (대치동),37.5072617,127.0592736
서울특별시 강남구 대치동 1012-14,,37.5074039,127.0595393
서울특별시 강남구 대치동 1011,서울특별시 강남구 삼성로 401-2 (대치동),37.5025418,127.0589231
서울특별시 강남구 청담동 3-6,,37.52325829999999,127.0427378
서울특별시 영등포구 문래동6가 45-1,,37.5203314,126.8842952
서울특별시 영등포구 문래동5가 22-1,,37.5171834,126.884154
서울특별시 구로구 구로동 50-10,,37.5039797,126.8895931
