주소_clean,roadAddr,lat,lon
서울특별시 동작구 상도동 424,서울특별시 동작구 상도로 369 (상도동),37.4963538,126.9572222
서울특별시 영등포구 대림동 784,서울특별시 영등포구 대림로 251 (대림동),37.5033123,126.8958538
서울특별시 영등포구 당산동3가 560-1,,37.52852439999999,126.8943271
서울특별시 영등포구 문래동2가 58-6,,37.5140144,126.894043
서울특별시 서대문구 북가좌동 362-1,,37.5798502,126.9121766
서울특별시 서대문구 북가좌동 309-13,"서울특별시 서대문구 거북골로20길 68 (북가좌동, 벽산하이츠빌라)",37.580792,126.911389
서울특별시 은평구 갈현동 530-9,,37.6144309,126.9176647
서울특별시 종로구 사직동 308-5,,37.5734585,126.9654074
서울특별시 서대문구 홍제동 253-3,서울특별시 서대문구 통일로 440 (홍제동),37.5883498,126.9450728
서울특별시 서대문구 창천동 83-11,,37.5601212,126.9355152
서울특별시 서대문구 창천동 83-67,,37.5603181,126.9362858
서울특별시 서대문구 창천동 83-65,,37.5601258,126.9365307
서울특별시 은평구 진관동 74,서울특별시 은평구 진관2로 19 (진관동),37.6348632,126.919578
서울특별시 은평구 진관동 51-4,,37.6431319,126.9168406
서울특별시 은평구 진관동 106-1,,37.6312257,126.9241612
서울특별시 동작구 대방동 500,서울특별시 동작구 여의대방로 256 (대방동),37.5093826,126.9255822
서울특별시 동작구 대방동 503-2,,37.5087465,126.9274984
서울특별시 서대문구 홍은동 354-2,,37.5835083,126.9249611
서울특별시 송파구 오금동 89-6,,37.5074354,127.1343398
서울특별시 강남구 대치동 1026,서울특별시 강남구 도곡로 407-2 (대치동),37.4975907,127.0568596
서울특별시 강남구 논현동 22,"서울특별시 강남구 강남대로146길 28 (논현동, 논현아파트)",37.5147685,127.0257639
서울특별시 강남구 대치동 1023-1,서울특별시 강남구 도곡로 422 (대치동),37.4972615,127.0567378
서울특별시 강남구 논현동 279-96,,37.5142186,127.0245417
서울특별시 강남구 논현동 279-128,,37.510641,127.0323159
서울특별시 강남구 대치동 1011-8,서울특별시 강남구 삼성로 401-2 (대치동),37.5025418,127.0589231
서울특별시 강남구 논현동 151-30,서울특별시 강남구 논현로 647 (논현동),37.5136787,127.0317124
서울특별시 강남구 논현동 151-31,서울특별시 강남구 논현로 651 (논현동),37.5117937,127.0309317
서울특별시 강남구 대치동 1011-25,,37.501813,127.0547192
서울특별시 강남구 논현동 130-29,서울특별시 강남구 논현로 653 (논현동),37.5122115,127.0312166
서울특별시 서초구 서초동 1375-1,,37.486868,127.032743
서울특별시 서초구 서초동 1366-25,,37.484786,127.0321569
서울특별시 강남구 논현동 215-17,서울특별시 강남구 논현로 654 (논현동),37.5123391,127.0318538
서울특별시 서초구 서초동 1375,서울특별시 서초구 강남대로 275-2 (서초동),37.486868,127.032743
서울특별시 서초구 서초동 1404,서울특별시 서초구 남부순환로347길 9-2 (서초동),37.4856551,127.031084
서울특별시 서초구 서초동 1381,,37.4862957,127.0291731
서울특별시 서초구 서초동 1344-14,"서울특별시 서초구 효령로72길 57 (서초동, 서초트라팰리스)",37.4868232,127.0283558
서울특별시 강동구 성내동 553-35,서울특별시 강동구 성내로 7-1 (성내동),37.5305277,127.1214006
서울특별시 동작구 흑석동 328,"서울특별시 동작구 서달로1길 17 (흑석동, 흑석동양아파트)",37.5003162,126.9586215
서울특별시 종로구 적선동 156,서울특별시 종로구 새문안로5가길 28 (적선동),37.5744291,126.9735649
서울특별시 영등포구 대림동 630-7,,37.5076671,126.8944172
서울특별시 영등포구 대림동 607-1,"서울특별시 영등포구 도영로 2-5 (대림동, 대림동코오롱아파트)",37.507591,126.894418
서울특별시 강동구 강일동 698,,37.5581852,127.1789602
서울특별시 종로구 행촌동 211,"서울특별시 종로구 송월길 130 (행촌동, 경희궁자이 1단지)",37.5718939,126.9634835
서울특별시 강동구 고덕동 353-81,,37.5678201,127.1591391
서울특별시 강동구 고덕동 352-24,,37.5651845,127.1566947
서울특별시 서대문구 홍은동 376-31,,37.58302010000001,126.9274596
서울특별시 영등포구 양평동1가 220-5,,37.525039,126.8888495
서울특별시 서대문구 홍은동 332-21,,37.5857584,126.9251641
서울특별시 영등포구 문래동6가 10,서울특별시 영등포구 선유로 75 (문래동6가),37.5198918,126.8846804
서울특별시 서대문구 홍제동 253-15,서울특별시 서대문구 통일로 442-1 (홍제동),37.5886783,126.9446788
