grid_id,grid_x,grid_y,center_x_m,center_y_m
4659_9702,4659,9702,931900.0,1940500.0
4690_9706,4690,9706,938100.0,1941300.0
4692_9763,4692,9763,938500.0,1952700.0
4693_9759,4693,9759,938700.0,1951900.0
4693_9761,4693,9761,938700.0,1952300.0
4693_9763,4693,9763,938700.0,1952700.0
4693_9764,4693,9764,938700.0,1952900.0
4694_9757,4694,9757,938900.0,1951500.0
4694_9758,4694,9758,938900.0,1951700.0
4694_9760,4694,9760,938900.0,1952100.0
4694_9761,4694,9761,938900.0,1952300.0
4694_9763,4694,9763,938900.0,1952700.0
4694_9764,4694,9764,938900.0,1952900.0
4695_9757,4695,9757,939100.0,1951500.0
4695_9759,4695,9759,939100.0,1951900.0
4695_9761,4695,9761,939100.0,1952300.0
4695_9762,4695,9762,939100.0,1952500.0
4695_9763,4695,9763,939100.0,1952700.0
4695_9764,4695,9764,939100.0,1952900.0
4695_9765,4695,9765,939100.0,1953100.0
4695_9766,4695,9766,939100.0,1953300.0
4695_9767,4695,9767,939100.0,1953500.0
4695_9768,4695,9768,939100.0,1953700.0
4696_9754,4696,9754,939300.0,1950900.0
4696_9755,4696,9755,939300.0,1951100.0
4696_9757,4696,9757,939300.0,1951500.0
4696_9758,4696,9758,939300.0,1951700.0
4696_9760,4696,9760,939300.0,1952100.0
4696_9761,4696,9761,939300.0,1952300.0
4696_9762,4696,9762,939300.0,1952500.0
4696_9763,4696,9763,939300.0,1952700.0
4696_9764,4696,9764,939300.0,1952900.0
4696_9765,4696,9765,939300.0,1953100.0
4696_9766,4696,9766,939300.0,1953300.0
4696_9767,4696,9767,939300.0,1953500.0
4696_9768,4696,9768,939300.0,1953700.0
4697_9761,4697,9761,939500.0,1952300.0
4697_9762,4697,9762,939500.0,1952500.0
4697_9763,4697,9763,939500.0,1952700.0
4697_9764,4697,9764,939500.0,1952900.0
4697_9765,4697,9765,939500.0,1953100.0
4697_9766,4697,9766,939500.0,1953300.0
