month,grid_id,count
1,4798_9723,55
1,4803_9730,33
1,4735_9754,30
1,4807_9722,30
1,4793_9730,22
1,4804_9729,22
1,4806_9725,20
1,4799_9736,19
1,4804_9721,19
1,4805_9730,19
1,4795_9735,18
1,4830_9712,18
1,4833_9714,17
1,4727_9742,16
1,4791_9736,16
1,4792_9734,16
1,4797_9736,16
1,4730_9768,15
1,4796_9720,15
1,4813_9807,15
1,4734_9754,14
1,4757_9712,14
1,4760_9713,14
1,4791_9718,14
1,4793_9734,14
1,4799_9729,14
1,4805_9724,14
1,4813_9805,14
1,4747_9753,13
1,4750_9779,13
1,4755_9747,13
1,4792_9719,13
1,4797_9719,13
1,4741_9778,12
1,4746_9719,12
1,4747_9717,12
1,4798_9736,12
1,4744_9771,11
1,4756_9711,11
1,4800_9735,11
1,4829_9713,11
1,4707_9751,10
1,4750_9778,10
1,4775_9722,10
1,4792_9720,10
1,4832_9712,10
1,4728_9769,9
1,4735_9753,9
1,4740_9753,9
1,4741_9754,9
1,4746_9749,9
1,4747_9759,9
1,4750_9726,9
1,4750_9755,9
1,4762_9756,9
1,4774_9712,9
1,4791_9737,9
1,4796_9723,9
1,4842_9709,9
1,4846_9720,9
1,4733_9722,8
1,4735_9714,8
1,4736_9752,8
1,4736_9766,8
1,4742_9749,8
1,4752_9759,8
1,4753_9711,8
1,4783_9723,8
1,4793_9726,8
1,4796_9736,8
1,4797_9724,8
1,4798_9810,8
1,4804_9730,8
1,4808_9724,8
1,4714_9734,7
1,4719_9739,7
1,4722_9733,7
1,4732_9766,7
1,4739_9754,7
1,4740_9764,7
1,4743_9723,7
1,4743_9750,7
1,4743_9775,7
1,4744_9750,7
1,4745_9749,7
1,4745_9755,7
1,4745_9756,7
1,4752_9756,7
1,4753_9710,7
1,4753_9715,7
1,4753_9757,7
1,4756_9718,7
1,4784_9712,7
1,4790_9722,7
1,4794_9732,7
1,4797_9728,7
1,4807_9725,7
1,4811_9808,7
1,4812_9806,7
1,4832_9715,7
1,4833_9718,7
1,4834_9717,7
1,4705_9755,6
1,4708_9753,6
1,4710_9750,6
1,4711_9756,6
1,4712_9756,6
1,4723_9737,6
1,4724_9739,6
1,4729_9720,6
1,4732_9705,6
1,4737_9714,6
1,4737_9755,6
1,4743_9752,6
1,4745_9779,6
1,4746_9714,6
1,4747_9754,6
1,4748_9760,6
1,4749_9757,6
1,4755_9760,6
1,4758_9711,6
1,4759_9712,6
1,4761_9713,6
1,4778_9715,6
1,4779_9722,6
1,4781_9715,6
1,4781_9716,6
1,4783_9719,6
1,4787_9715,6
1,4789_9718,6
1,4790_9720,6
1,4794_9701,6
1,4800_9734,6
1,4803_9727,6
1,4804_9728,6
1,4811_9811,6
1,4814_9806,6
1,4824_9724,6
1,4831_9715,6
1,4831_9720,6
1,4837_9735,6
1,4702_9751,5
1,4704_9762,5
1,4706_9750,5
1,4708_9746,5
1,4710_9749,5
1,4713_9753,5
1,4716_9758,5
1,4718_9757,5
1,4719_9756,5
1,4722_9734,5
1,4726_9743,5
1,4729_9724,5
1,4730_9705,5
1,4730_9765,5
1,4733_9720,5
1,4734_9720,5
1,4734_9765,5
1,4737_9716,5
1,4737_9753,5
1,4737_9770,5
1,4739_9751,5
1,4740_9748,5
1,4741_9750,5
1,4742_9761,5
1,4743_9774,5
1,4743_9777,5
1,4745_9724,5
1,4745_9752,5
1,4745_9775,5
1,4746_9748,5
1,4748_9778,5
1,4749_9750,5
1,4752_9753,5
1,4753_9714,5
1,4753_9725,5
1,4754_9747,5
1,4754_9749,5
1,4760_9750,5
1,4764_9754,5
1,4781_9728,5
1,4784_9713,5
1,4785_9731,5
1,4789_9714,5
1,4789_9727,5
1,4789_9810,5
1,4790_9719,5
1,4790_9721,5
1,4790_9723,5
1,4791_9720,5
1,4794_9734,5
1,4799_9737,5
1,4799_9809,5
1,4803_9721,5
1,4804_9818,5
1,4807_9723,5
1,4807_9731,5
1,4808_9726,5
1,4812_9800,5
1,4829_9725,5
1,4831_9719,5
1,4836_9739,5
1,4838_9735,5
1,4843_9717,5
1,4844_9745,5
1,4703_9752,4
1,4703_9760,4
1,4708_9756,4
1,4709_9746,4
1,4714_9741,4
1,4715_9755,4
1,4718_9746,4
1,4718_9747,4
1,4721_9742,4
1,4722_9735,4
1,4723_9739,4
1,4723_9742,4
1,4724_9745,4
1,4725_9744,4
1,4726_9744,4
1,4727_9713,4
1,4727_9736,4
1,4727_9766,4
1,4728_9725,4
1,4729_9704,4
1,4730_9721,4
1,4730_9764,4
1,4731_9705,4
1,4731_9708,4
1,4731_9767,4
1,4732_9715,4
1,4734_9729,4
1,4735_9756,4
1,4736_9693,4
1,4736_9714,4
1,4737_9698,4
1,4737_9706,4
1,4737_9752,4
1,4737_9773,4
1,4738_9698,4
1,4738_9765,4
1,4739_9750,4
1,4741_9762,4
1,4742_9778,4
1,4742_9779,4
1,4743_9766,4
1,4744_9776,4
1,4744_9778,4
1,4745_9718,4
1,4745_9754,4
1,4745_9771,4
1,4745_9773,4
1,4745_9785,4
1,4746_9780,4
1,4748_9714,4
1,4749_9749,4
1,4749_9751,4
1,4750_9763,4
1,4751_9751,4
1,4751_9755,4
1,4753_9724,4
1,4753_9746,4
1,4754_9755,4
1,4755_9748,4
1,4755_9759,4
1,4756_9715,4
1,4757_9715,4
1,4758_9724,4
1,4758_9725,4
1,4758_9726,4
1,4758_9751,4
1,4759_9713,4
1,4760_9710,4
1,4760_9716,4
1,4760_9718,4
1,4775_9719,4
1,4777_9713,4
1,4777_9714,4
1,4779_9709,4
1,4781_9712,4
1,4781_9718,4
1,4789_9715,4
1,4789_9724,4
1,4790_9718,4
1,4791_9721,4
1,4793_9715,4
1,4793_9720,4
1,4793_9738,4
1,4794_9713,4
1,4794_9735,4
1,4794_9739,4
1,4796_9806,4
1,4797_9710,4
1,4797_9711,4
1,4797_9712,4
1,4800_9736,4
1,4801_9732,4
1,4804_9731,4
1,4805_9727,4
1,4805_9731,4
1,4806_9719,4
1,4806_9727,4
1,4806_9808,4
1,4807_9715,4
1,4809_9725,4
1,4812_9721,4
1,4812_9793,4
1,4814_9805,4
1,4816_9729,4
1,4829_9732,4
1,4832_9720,4
1,4832_9722,4
1,4834_9716,4
1,4837_9715,4
1,4838_9722,4
1,4840_9744,4
1,4842_9718,4
1,4846_9719,4
1,4698_9766,3
1,4704_9757,3
1,4708_9752,3
1,4708_9759,3
1,4709_9747,3
1,4711_9740,3
1,4711_9751,3
1,4711_9758,3
1,4713_9743,3
1,4717_9737,3
1,4717_9741,3
1,4718_9732,3
1,4718_9745,3
1,4721_9734,3
1,4721_9736,3
1,4722_9736,3
1,4722_9739,3
1,4723_9736,3
1,4723_9738,3
1,4725_9738,3
1,4727_9708,3
1,4727_9733,3
1,4727_9734,3
1,4728_9708,3
1,4728_9728,3
1,4728_9732,3
1,4728_9770,3
1,4729_9732,3
1,4729_9735,3
1,4730_9715,3
1,4730_9738,3
1,4731_9710,3
1,4731_9720,3
1,4731_9744,3
1,4731_9758,3
1,4731_9766,3
1,4733_9715,3
1,4733_9724,3
1,4733_9727,3
1,4734_9714,3
1,4734_9721,3
1,4734_9738,3
1,4735_9695,3
1,4736_9755,3
1,4737_9705,3
1,4738_9752,3
1,4738_9771,3
1,4739_9707,3
1,4740_9715,3
1,4740_9716,3
1,4740_9752,3
1,4740_9766,3
1,4741_9713,3
1,4741_9714,3
1,4741_9772,3
1,4741_9773,3
1,4742_9708,3
1,4742_9715,3
1,4742_9754,3
1,4742_9755,3
1,4742_9775,3
1,4742_9776,3
1,4743_9707,3
1,4743_9713,3
1,4743_9722,3
1,4743_9753,3
1,4743_9768,3
1,4743_9783,3
1,4743_9786,3
1,4744_9715,3
1,4744_9719,3
1,4744_9723,3
1,4744_9773,3
1,4745_9715,3
1,4745_9753,3
1,4745_9769,3
1,4745_9774,3
1,4746_9718,3
1,4746_9726,3
1,4746_9758,3
1,4747_9711,3
1,4747_9722,3
1,4747_9728,3
1,4747_9769,3
1,4748_9723,3
1,4748_9750,3
1,4748_9781,3
1,4749_9723,3
1,4750_9750,3
1,4750_9754,3
1,4750_9764,3
1,4752_9713,3
1,4752_9748,3
1,4753_9709,3
1,4753_9720,3
1,4753_9749,3
1,4754_9710,3
1,4754_9746,3
1,4754_9751,3
1,4755_9753,3
1,4756_9728,3
1,4757_9709,3
