번호,신고일,구정보,주소,유형,조치일
1,2024-01-01,송파구,서울특별시 송파구 마천동 128-127,"건물, 상가 보행자 진출입",2024-01-02
2,2024-01-01,송파구,서울특별시 송파구 거여동 604,"건물, 상가 보행자 진출입",2024-01-02
3,2024-01-01,송파구,서울특별시 송파구 장지동 839,자전거 도로,2024-01-02
4,2024-01-01,서대문구,서울특별시 서대문구 연희동 88-16,"횡단보도, 산책로 등",2024-01-04
5,2024-01-01,동작구,서울특별시 동작구 흑석동 253-4,보도 중앙,2024-01-02
6,2024-01-02,송파구,서울특별시 송파구 문정동 622,보도 중앙,2024-01-02
7,2024-01-02,송파구,서울특별시 송파구 방이동 35-9,자전거 도로,2024-01-02
8,2024-01-02,송파구,서울특별시 송파구 방이동 45,자전거 도로,2024-01-02
9,2024-01-02,송파구,서울특별시 송파구 방이동 75-1,자전거 도로,2024-01-02
10,2024-01-02,송파구,서울특별시 송파구 방이동 184,"횡단보도, 산책로 등",2024-01-02
11,2024-01-02,송파구,서울특별시 송파구 방이동 184,"횡단보도, 산책로 등",2024-01-02
12,2024-01-02,강동구,서울특별시 강동구 성내동 439-16,보도 중앙,2024-01-02
13,2024-01-02,송파구,서울특별시 송파구 문정동 647-3,자전거 도로,2024-01-02
14,2024-01-02,도봉구,서울특별시 도봉구 방학동 726-29,"횡단보도, 산책로 등",2024-01-02
15,2024-01-02,송파구,서울특별시 송파구 문정동 649,자전거 도로,2024-01-02
16,2024-01-02,동대문구,서울특별시 동대문구 전농동 687,보도와 차도가 구분된 도로의 차도,2024-01-02
17,2024-01-02,강동구,서울특별시 강동구 성내동 579-1,보도와 차도가 구분된 도로의 차도,2024-01-02
18,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 468,"횡단보도, 산책로 등",2024-01-02
19,2024-01-02,강동구,서울특별시 강동구 성내동 450-2,"횡단보도, 산책로 등",2024-01-02
20,2024-01-02,강동구,서울특별시 강동구 성내동 450-2,"횡단보도, 산책로 등",2024-01-02
21,2024-01-02,강동구,서울특별시 강동구 성내동 459-10,자전거 도로,2024-01-02
22,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 59,"횡단보도, 산책로 등",2024-01-02
23,2024-01-02,노원구,서울특별시 노원구 상계동 634-3,"횡단보도, 산책로 등",2024-01-02
24,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 59-5,"횡단보도, 산책로 등",2024-01-02
25,2024-01-02,노원구,서울특별시 노원구 상계동 634-3,"횡단보도, 산책로 등",2024-01-02
26,2024-01-02,노원구,서울특별시 노원구 상계동 458-5,"횡단보도, 산책로 등",2024-01-02
27,2024-01-02,노원구,서울특별시 노원구 상계동 135-51,"횡단보도, 산책로 등",2024-01-02
28,2024-01-02,성동구,서울특별시 성동구 성수동2가 278-52,보도와 차도가 구분된 도로의 차도,2024-01-02
29,2024-01-02,도봉구,서울특별시 도봉구 방학동 705-39,"횡단보도, 산책로 등",2024-01-02
30,2024-01-02,노원구,서울특별시 노원구 상계동 456-169,보도와 차도가 구분된 도로의 차도,2024-01-02
31,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-48,"횡단보도, 산책로 등",2024-01-02
32,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-48,보도와 차도가 구분된 도로의 차도,2024-01-02
33,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-13,보도와 차도가 구분된 도로의 차도,2024-01-02
34,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-13,보도와 차도가 구분된 도로의 차도,2024-01-02
35,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-5,보도와 차도가 구분된 도로의 차도,2024-01-02
36,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-5,보도와 차도가 구분된 도로의 차도,2024-01-02
37,2024-01-02,노원구,서울특별시 노원구 중계동 606-1,보도와 차도가 구분된 도로의 차도,2024-01-02
38,2024-01-02,노원구,서울특별시 노원구 중계동 356-1,보도와 차도가 구분된 도로의 차도,2024-01-02
39,2024-01-02,성동구,서울특별시 성동구 성수동2가 280-21,보도와 차도가 구분된 도로의 차도,2024-01-02
40,2024-01-02,성동구,서울특별시 성동구 성수동2가 277-72,보도와 차도가 구분된 도로의 차도,2024-01-02
41,2024-01-02,성동구,서울특별시 성동구 성수동2가 273-16,보도와 차도가 구분된 도로의 차도,2024-01-02
42,2024-01-02,성동구,서울특별시 성동구 성수동2가 275-24,보도와 차도가 구분된 도로의 차도,2024-01-02
43,2024-01-02,성동구,서울특별시 성동구 성수동2가 275-24,보도와 차도가 구분된 도로의 차도,2024-01-02
44,2024-01-02,송파구,서울특별시 송파구 거여동 133-60,"횡단보도, 산책로 등",2024-01-02
45,2024-01-02,송파구,서울특별시 송파구 송파동 188-4,"버스정류장, 택시 승강장",2024-01-02
46,2024-01-02,노원구,서울특별시 노원구 중계동 378,"횡단보도, 산책로 등",2024-01-02
47,2024-01-02,송파구,서울특별시 송파구 송파동 188-4,"버스정류장, 택시 승강장",2024-01-02
48,2024-01-02,성북구,서울특별시 성북구 석관동 10,"횡단보도, 산책로 등",2024-01-02
49,2024-01-02,송파구,서울특별시 송파구 거여동 31-17,"횡단보도, 산책로 등",2024-01-02
50,2024-01-02,성북구,서울특별시 성북구 석관동 377-7,"횡단보도, 산책로 등",2024-01-02
51,2024-01-02,성동구,서울특별시 성동구 성수동2가 832,보도와 차도가 구분된 도로의 차도,2024-01-02
52,2024-01-02,성동구,서울특별시 성동구 성수동2가 314-13,보도와 차도가 구분된 도로의 차도,2024-01-02
53,2024-01-02,성동구,서울특별시 성동구 성수동2가 314-13,보도 중앙,2024-01-02
54,2024-01-02,광진구,서울특별시 광진구 자양동 497-2,보도와 차도가 구분된 도로의 차도,2024-01-02
55,2024-01-02,광진구,서울특별시 광진구 자양동 856-14,"횡단보도, 산책로 등",2024-01-02
56,2024-01-02,송파구,서울특별시 송파구 마천동 128-70,"횡단보도, 산책로 등",2024-01-02
57,2024-01-02,광진구,서울특별시 광진구 자양동 855,보도와 차도가 구분된 도로의 차도,2024-01-02
58,2024-01-02,용산구,서울특별시 용산구 보광동 216-99,보도와 차도가 구분된 도로의 차도,2024-01-02
59,2024-01-02,광진구,서울특별시 광진구 자양동 788,보도와 차도가 구분된 도로의 차도,2024-01-02
60,2024-01-02,노원구,서울특별시 노원구 하계동 256-8,"횡단보도, 산책로 등",2024-01-02
61,2024-01-02,성동구,서울특별시 성동구 성수동2가 314-20,보도와 차도가 구분된 도로의 차도,2024-01-02
62,2024-01-02,노원구,서울특별시 노원구 하계동 251-6,보도 중앙,2024-01-02
63,2024-01-02,광진구,서울특별시 광진구 자양동 507-36,"횡단보도, 산책로 등",2024-01-02
64,2024-01-02,성북구,서울특별시 성북구 장위동 63-19,보도와 차도가 구분된 도로의 차도,2024-01-02
65,2024-01-02,용산구,서울특별시 용산구 문배동 3-9,보도와 차도가 구분된 도로의 차도,2024-01-02
66,2024-01-02,용산구,서울특별시 용산구 보광동 216-2,보도와 차도가 구분된 도로의 차도,2024-01-02
67,2024-01-02,노원구,서울특별시 노원구 하계동 251-5,보도 중앙,2024-01-02
68,2024-01-02,광진구,서울특별시 광진구 자양동 227-325,"버스정류장, 택시 승강장",2024-01-02
69,2024-01-02,노원구,서울특별시 노원구 하계동 266,"횡단보도, 산책로 등",2024-01-02
70,2024-01-02,광진구,서울특별시 광진구 자양동 227-325,"버스정류장, 택시 승강장",2024-01-02
71,2024-01-02,성동구,서울특별시 성동구 성수동2가 325-2,"횡단보도, 산책로 등",2024-01-02
72,2024-01-02,성동구,서울특별시 성동구 성수동2가 816-4,"횡단보도, 산책로 등",2024-01-02
73,2024-01-02,광진구,서울특별시 광진구 자양동 227-325,"버스정류장, 택시 승강장",2024-01-02
74,2024-01-02,광진구,서울특별시 광진구 자양동 227-325,"버스정류장, 택시 승강장",2024-01-02
75,2024-01-02,노원구,서울특별시 노원구 하계동 278-5,보도 중앙,2024-01-02
76,2024-01-02,광진구,서울특별시 광진구 화양동 4-14,자전거 도로,2024-01-02
77,2024-01-02,용산구,서울특별시 용산구 산천동 93-5,보도와 차도가 구분된 도로의 차도,2024-01-02
78,2024-01-02,성동구,서울특별시 성동구 성수동2가 309-140,"버스정류장, 택시 승강장",2024-01-02
79,2024-01-02,성동구,서울특별시 성동구 성수동2가 325-2,"버스정류장, 택시 승강장",2024-01-02
80,2024-01-02,성동구,서울특별시 성동구 성수동2가 331-14,"횡단보도, 산책로 등",2024-01-02
81,2024-01-02,도봉구,서울특별시 도봉구 방학동 726-145,"횡단보도, 산책로 등",2024-01-02
82,2024-01-02,노원구,서울특별시 노원구 공릉동 707-1,보도 중앙,2024-01-02
83,2024-01-02,노원구,서울특별시 노원구 공릉동 727-1,보도 중앙,2024-01-02
84,2024-01-02,성동구,서울특별시 성동구 성수동2가 309-51,"횡단보도, 산책로 등",2024-01-02
85,2024-01-02,노원구,서울특별시 노원구 공릉동 715-2,보도 중앙,2024-01-02
86,2024-01-02,송파구,서울특별시 송파구 장지동 917-3,"횡단보도, 산책로 등",2024-01-02
87,2024-01-02,성동구,서울특별시 성동구 성수동2가 309-140,"횡단보도, 산책로 등",2024-01-02
88,2024-01-02,강서구,서울특별시 강서구 가양동 1484-5,"버스정류장, 택시 승강장",2024-01-02
89,2024-01-02,노원구,서울특별시 노원구 공릉동 715-2,보도 중앙,2024-01-02
90,2024-01-02,강서구,서울특별시 강서구 염창동 산24-1,보도와 차도가 구분된 도로의 차도,2024-01-02
91,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 54,보도와 차도가 구분된 도로의 차도,2024-01-02
92,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 54,보도와 차도가 구분된 도로의 차도,2024-01-02
93,2024-01-02,성동구,서울특별시 성동구 성수동2가 309-50,보도와 차도가 구분된 도로의 차도,2024-01-02
94,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 54,보도와 차도가 구분된 도로의 차도,2024-01-02
95,2024-01-02,성동구,서울특별시 성동구 성수동2가 309-51,보도와 차도가 구분된 도로의 차도,2024-01-02
96,2024-01-02,도봉구,서울특별시 도봉구 쌍문동 54,보도와 차도가 구분된 도로의 차도,2024-01-02
97,2024-01-02,강서구,서울특별시 강서구 가양동 1487,자전거 도로,2024-01-02
98,2024-01-02,송파구,서울특별시 송파구 장지동 917-7,자전거 도로,2024-01-02
99,2024-01-02,용산구,서울특별시 용산구 도원동 1-59,"횡단보도, 산책로 등",2024-01-02
100,2024-01-02,송파구,서울특별시 송파구 장지동 917-7,자전거 도로,2024-01-02
101,2024-01-02,송파구,서울특별시 송파구 장지동 917-7,자전거 도로,2024-01-02
