번호,신고일,구정보,주소,유형,조치일
1,2024-07-01,은평구,서울특별시 은평구 응암동 39-14,횡단보도 주변(3m),2024-07-01
2,2024-07-01,은평구,서울특별시 은평구 녹번동 82-39,보호구역(어린이·노인·장애인),2024-07-01
3,2024-07-01,송파구,서울특별시 송파구 가락동 62,보도와 차도가 구분된 도로의 차도,2024-07-01
4,2024-07-01,은평구,서울특별시 은평구 응암동 86-15,횡단보도 주변(3m),2024-07-01
5,2024-07-01,송파구,서울특별시 송파구 가락동 71-4,보도와 차도가 구분된 도로의 차도,2024-07-01
6,2024-07-01,송파구,서울특별시 송파구 가락동 67,보도와 차도가 구분된 도로의 차도,2024-07-01
7,2024-07-01,은평구,서울특별시 은평구 응암동 760-4,횡단보도 주변(3m),2024-07-01
8,2024-07-01,송파구,서울특별시 송파구 가락동 67,보도와 차도가 구분된 도로의 차도,2024-07-01
9,2024-07-01,은평구,서울특별시 은평구 응암동 748-6,횡단보도 주변(3m),2024-07-01
10,2024-07-01,송파구,서울특별시 송파구 가락동 64,보도와 차도가 구분된 도로의 차도,2024-07-01
11,2024-07-01,송파구,서울특별시 송파구 문정동 221-2,자전거 도로,2024-07-01
12,2024-07-01,송파구,서울특별시 송파구 문정동 639-3,자전거 도로,2024-07-01
13,2024-07-01,송파구,서울특별시 송파구 문정동 639-5,자전거 도로,2024-07-01
14,2024-07-01,송파구,서울특별시 송파구 문정동 38-3,횡단보도 주변(3m),2024-07-01
15,2024-07-01,송파구,서울특별시 송파구 문정동 38-4,횡단보도 주변(3m),2024-07-01
16,2024-07-01,동대문구,서울특별시 동대문구 전농동 150-84,횡단보도 주변(3m),2024-07-01
17,2024-07-01,동대문구,서울특별시 동대문구 전농동 150-10,횡단보도 주변(3m),2024-07-01
18,2024-07-01,동대문구,서울특별시 동대문구 전농동 150-10,횡단보도 주변(3m),2024-07-01
19,2024-07-01,동대문구,서울특별시 동대문구 청량리동 819,보도와 차도가 구분된 도로의 차도,2024-07-01
20,2024-07-01,동대문구,서울특별시 동대문구 전농동 124-64,횡단보도 주변(3m),2024-07-01
21,2024-07-01,은평구,서울특별시 은평구 응암동 604-3,횡단보도 주변(3m),2024-07-01
22,2024-07-01,강동구,서울특별시 강동구 성내동 450-2,횡단보도 주변(3m),2024-07-01
