번호,신고일,구정보,주소,유형,조치일
1,2023-10-04,용산구,서울특별시 용산구 한남동 627-1,"횡단보도, 산책로 등",2023-10-04
2,2023-10-04,용산구,서울특별시 용산구 한남동 738-29,"횡단보도, 산책로 등",2023-10-04
3,2023-10-04,마포구,서울특별시 마포구 망원동 420-23,"횡단보도, 산책로 등",2023-10-04
4,2023-10-04,마포구,서울특별시 마포구 망원동 420-23,"횡단보도, 산책로 등",2023-10-04
5,2023-10-04,동대문구,서울특별시 동대문구 답십리동 99-13,보도와 차도가 구분된 도로의 차도,2023-10-04
6,2023-10-04,송파구,서울특별시 송파구 문정동 641-4,자전거 도로,2023-10-04
7,2023-10-04,성동구,서울특별시 성동구 성수동2가 278-50,보도와 차도가 구분된 도로의 차도,2023-10-04
8,2023-10-04,성동구,서울특별시 성동구 성수동2가 280-4,보도와 차도가 구분된 도로의 차도,2023-10-04
9,2023-10-04,동대문구,서울특별시 동대문구 장안동 480-16,보도와 차도가 구분된 도로의 차도,2023-10-04
10,2023-10-04,성동구,서울특별시 성동구 성수동2가 280-48,보도와 차도가 구분된 도로의 차도,2023-10-04
11,2023-10-04,송파구,서울특별시 송파구 문정동 640-11,자전거 도로,2023-10-04
12,2023-10-04,용산구,서울특별시 용산구 한남동 727-33,"버스정류장, 택시 승강장",2023-10-04
13,2023-10-04,구로구,서울특별시 구로구 구로동 832,"횡단보도, 산책로 등",2023-10-04
14,2023-10-04,동대문구,서울특별시 동대문구 장안동 480-16,보도와 차도가 구분된 도로의 차도,2023-10-04
15,2023-10-04,송파구,서울특별시 송파구 거여동 290-4,"횡단보도, 산책로 등",2023-10-04
16,2023-10-04,용산구,서울특별시 용산구 한남동 726-494,"버스정류장, 택시 승강장",2023-10-04
17,2023-10-04,용산구,서울특별시 용산구 신창동 56-1,보도와 차도가 구분된 도로의 차도,2023-10-04
18,2023-10-04,성동구,서울특별시 성동구 성수동2가 275-24,보도와 차도가 구분된 도로의 차도,2023-10-04
19,2023-10-04,광진구,서울특별시 광진구 자양동 789,보도 중앙,2023-10-04
20,2023-10-04,마포구,서울특별시 마포구 망원동 452-2,보도와 차도가 구분된 도로의 차도,2023-10-04
21,2023-10-04,마포구,서울특별시 마포구 망원동 452-2,보도와 차도가 구분된 도로의 차도,2023-10-04
22,2023-10-04,마포구,서울특별시 마포구 망원동 452-2,보도와 차도가 구분된 도로의 차도,2023-10-04
23,2023-10-04,용산구,서울특별시 용산구 도원동 19,보도와 차도가 구분된 도로의 차도,2023-10-04
24,2023-10-04,광진구,서울특별시 광진구 자양동 497-2,보도 중앙,2023-10-04
25,2023-10-04,구로구,서울특별시 구로구 구로동 191-2,"점자블록, 엘리베이터 입구",2023-10-04
26,2023-10-04,용산구,서울특별시 용산구 도원동 23,보도와 차도가 구분된 도로의 차도,2023-10-04
27,2023-10-04,광진구,서울특별시 광진구 자양동 497-2,보도 중앙,2023-10-04
28,2023-10-04,용산구,서울특별시 용산구 도원동 19,보도와 차도가 구분된 도로의 차도,2023-10-04
29,2023-10-04,도봉구,서울특별시 도봉구 방학동 271-9,"횡단보도, 산책로 등",2023-10-04
30,2023-10-04,성동구,서울특별시 성동구 성수동2가 316-9,보도와 차도가 구분된 도로의 차도,2023-10-04
31,2023-10-04,광진구,서울특별시 광진구 자양동 854,"점자블록, 엘리베이터 입구",2023-10-04
32,2023-10-04,송파구,서울특별시 송파구 마천동 288-18,"횡단보도, 산책로 등",2023-10-04
33,2023-10-04,강동구,서울특별시 강동구 성내동 459-6,"버스정류장, 택시 승강장",2023-10-04
34,2023-10-04,동대문구,서울특별시 동대문구 답십리동 530-3,보도와 차도가 구분된 도로의 차도,2023-10-04
35,2023-10-04,성동구,서울특별시 성동구 성수동2가 314-20,보도와 차도가 구분된 도로의 차도,2023-10-04
36,2023-10-04,강동구,서울특별시 강동구 성내동 478,"버스정류장, 택시 승강장",2023-10-04
37,2023-10-04,동대문구,서울특별시 동대문구 장안동 476-2,보도와 차도가 구분된 도로의 차도,2023-10-04
38,2023-10-04,성동구,서울특별시 성동구 성수동2가 316-9,보도와 차도가 구분된 도로의 차도,2023-10-04
39,2023-10-04,광진구,서울특별시 광진구 자양동 856-16,보도 중앙,2023-10-04
40,2023-10-04,성동구,서울특별시 성동구 성수동2가 316-9,보도와 차도가 구분된 도로의 차도,2023-10-04
41,2023-10-04,서초구,서울특별시 서초구 양재동 238,"버스정류장, 택시 승강장",2023-10-04
42,2023-10-04,성동구,서울특별시 성동구 성수동2가 314-20,보도와 차도가 구분된 도로의 차도,2023-10-04
43,2023-10-04,도봉구,서울특별시 도봉구 방학동 271-7,"횡단보도, 산책로 등",2023-10-04
44,2023-10-04,서초구,서울특별시 서초구 양재동 233,"버스정류장, 택시 승강장",2023-10-04
45,2023-10-04,광진구,서울특별시 광진구 자양동 856-2,보도 중앙,2023-10-04
46,2023-10-04,송파구,서울특별시 송파구 문정동 641-4,자전거 도로,2023-10-04
47,2023-10-04,서초구,서울특별시 서초구 양재동 233-2,"버스정류장, 택시 승강장",2023-10-04
48,2023-10-04,송파구,서울특별시 송파구 거여동 696-5,"횡단보도, 산책로 등",2023-10-04
49,2023-10-04,용산구,서울특별시 용산구 보광동 217-49,"버스정류장, 택시 승강장",2023-10-04
50,2023-10-04,성동구,서울특별시 성동구 성수동1가 694-3,보도와 차도가 구분된 도로의 차도,2023-10-04
51,2023-10-04,서초구,서울특별시 서초구 양재동 238,"버스정류장, 택시 승강장",2023-10-04
52,2023-10-04,서초구,서울특별시 서초구 양재동 238,"버스정류장, 택시 승강장",2023-10-04
53,2023-10-04,용산구,서울특별시 용산구 도원동 23,"횡단보도, 산책로 등",2023-10-04
54,2023-10-04,송파구,서울특별시 송파구 거여동 20-14,보도와 차도가 구분된 도로의 차도,2023-10-04
55,2023-10-04,도봉구,서울특별시 도봉구 방학동 727-2,"점자블록, 엘리베이터 입구",2023-10-04
56,2023-10-04,성동구,서울특별시 성동구 성수동1가 668-2,보도와 차도가 구분된 도로의 차도,2023-10-04
57,2023-10-04,동대문구,서울특별시 동대문구 답십리동 952-7,"점자블록, 엘리베이터 입구",2023-10-04
58,2023-10-04,성동구,서울특별시 성동구 성수동1가 685-285,보도와 차도가 구분된 도로의 차도,2023-10-04
59,2023-10-04,도봉구,서울특별시 도봉구 방학동 264-53,보도와 차도가 구분된 도로의 차도,2023-10-04
60,2023-10-04,구로구,서울특별시 구로구 구로동 1285,보도와 차도가 구분된 도로의 차도,2023-10-04
61,2023-10-04,성동구,서울특별시 성동구 성수동1가 676-9,"횡단보도, 산책로 등",2023-10-04
62,2023-10-04,구로구,서울특별시 구로구 구로동 122-18,보도와 차도가 구분된 도로의 차도,2023-10-04
63,2023-10-04,성동구,서울특별시 성동구 성수동1가 685-349,"횡단보도, 산책로 등",2023-10-04
64,2023-10-04,구로구,서울특별시 구로구 구로동 122-18,보도와 차도가 구분된 도로의 차도,2023-10-04
65,2023-10-04,동대문구,서울특별시 동대문구 장안동 94-33,"횡단보도, 산책로 등",2023-10-04
66,2023-10-04,성동구,서울특별시 성동구 성수동1가 694-129,"횡단보도, 산책로 등",2023-10-04
67,2023-10-04,송파구,서울특별시 송파구 거여동 21-2,"버스정류장, 택시 승강장",2023-10-04
68,2023-10-04,광진구,서울특별시 광진구 자양동 854,"점자블록, 엘리베이터 입구",2023-10-04
69,2023-10-04,관악구,서울특별시 관악구 봉천동 1735,"횡단보도, 산책로 등",2023-10-04
70,2023-10-04,광진구,서울특별시 광진구 자양동 854-2,"점자블록, 엘리베이터 입구",2023-10-04
71,2023-10-04,동대문구,서울특별시 동대문구 전농동 1-224,보도와 차도가 구분된 도로의 차도,2023-10-04
72,2023-10-04,관악구,서울특별시 관악구 봉천동 1732-6,"점자블록, 엘리베이터 입구",2023-10-04
73,2023-10-04,관악구,서울특별시 관악구 봉천동 1732-9,보도와 차도가 구분된 도로의 차도,2023-10-04
74,2023-10-04,용산구,서울특별시 용산구 원효로1가 57-15,보도와 차도가 구분된 도로의 차도,2023-10-04
75,2023-10-04,마포구,서울특별시 마포구 망원동 394-25,"점자블록, 엘리베이터 입구",2023-10-04
76,2023-10-04,광진구,서울특별시 광진구 자양동 507-36,자전거 도로,2023-10-04
77,2023-10-04,성동구,서울특별시 성동구 행당동 168-203,"횡단보도, 산책로 등",2023-10-04
78,2023-10-04,마포구,서울특별시 마포구 망원동 397-4,"횡단보도, 산책로 등",2023-10-04
79,2023-10-04,광진구,서울특별시 광진구 자양동 510-6,자전거 도로,2023-10-04
80,2023-10-04,성동구,서울특별시 성동구 행당동 168-203,"횡단보도, 산책로 등",2023-10-04
81,2023-10-04,관악구,서울특별시 관악구 신림동 98-427,보도와 차도가 구분된 도로의 차도,2023-10-04
82,2023-10-04,송파구,서울특별시 송파구 송파동 62,자전거 도로,2023-10-04
