번호,신고일,구정보,주소,유형,조치일
1,2025.4.1,강동구,서울특별시 강동구 명일동 303-1,상기 사항 외 보도,2025.4.1
2,2025.4.1,송파구,서울특별시 송파구 문정동 618,상기 사항 외 보도,2025.4.1
3,2025.4.1,강동구,서울특별시 강동구 명일동 303-1,횡단보도 주변(3m),2025.4.1
4,2025.4.1,은평구,서울특별시 은평구 역촌동 51-28,상기 사항 외 보도,2025.4.1
5,2025.4.1,강동구,서울특별시 강동구 명일동 303-1,횡단보도 주변(3m),2025.4.1
6,2025.4.1,송파구,서울특별시 송파구 문정동 651,상기 사항 외 보도,2025.4.1
7,2025.4.1,송파구,서울특별시 송파구 문정동 641-1,상기 사항 외 보도,2025.4.1
8,2025.4.1,강동구,서울특별시 강동구 성내동 452-3,보도와 차도가 구분된 도로의 차도,2025.4.1
9,2025.4.1,송파구,서울특별시 송파구 문정동 500,상기 사항 외 보도,2025.4.1
10,2025.4.1,강동구,서울특별시 강동구 성내동 477,보도와 차도가 구분된 도로의 차도,2025.4.1
11,2025.4.1,송파구,서울특별시 송파구 거여동 295,점자블록 또는 교통약자 엘리베이터,2025.4.1
12,2025.4.1,강서구,서울특별시 강서구 화곡동 662-20,보호구역(어린이·노인·장애인),2025.4.1
13,2025.4.1,서초구,서울특별시 서초구 서초동 1326,보도와 차도가 구분된 도로의 차도,2025.4.1
14,2025.4.1,서초구,서울특별시 서초구 서초동 1321-15,보도와 차도가 구분된 도로의 차도,2025.4.1
15,2025.4.1,서초구,서울특별시 서초구 서초동 1321-15,보도와 차도가 구분된 도로의 차도,2025.4.1
16,2025.4.1,서초구,서울특별시 서초구 서초동 1321-15,보도와 차도가 구분된 도로의 차도,2025.4.1
17,2025.4.1,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025.4.1
18,2025.4.1,서초구,서울특별시 서초구 서초동 1321-15,보도와 차도가 구분된 도로의 차도,2025.4.1
19,2025.4.1,강서구,서울특별시 강서구 염창동 284-77,횡단보도 주변(3m),2025.4.1
20,2025.4.1,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025.4.1
21,2025.4.1,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025.4.1
22,2025.4.1,강동구,서울특별시 강동구 강일동 280,지하철역 전면(5m이내),2025.4.1
23,2025.4.1,서초구,서울특별시 서초구 서초동 1319-1,보도와 차도가 구분된 도로의 차도,2025.4.1
24,2025.4.1,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2025.4.1
25,2025.4.1,강동구,서울특별시 강동구 강일동 280,자전거 도로,2025.4.1
26,2025.4.1,서초구,서울특별시 서초구 서초동 1328-2,보도와 차도가 구분된 도로의 차도,2025.4.1
27,2025.4.1,서초구,서울특별시 서초구 서초동 1374,보도와 차도가 구분된 도로의 차도,2025.4.1
28,2025.4.1,강서구,서울특별시 강서구 염창동 257-5,보도와 차도가 구분된 도로의 차도,2025.4.1
29,2025.4.1,서초구,서울특별시 서초구 서초동 1328,보도와 차도가 구분된 도로의 차도,2025.4.1
30,2025.4.1,강서구,서울특별시 강서구 염창동 284-62,보도와 차도가 구분된 도로의 차도,2025.4.1
31,2025.4.1,서초구,서울특별시 서초구 서초동 1328-1,보도와 차도가 구분된 도로의 차도,2025.4.1
32,2025.4.1,서초구,서울특별시 서초구 서초동 1374,보도와 차도가 구분된 도로의 차도,2025.4.1
33,2025.4.1,서초구,서울특별시 서초구 서초동 1374,보도와 차도가 구분된 도로의 차도,2025.4.1
34,2025.4.1,강서구,서울특별시 강서구 화곡동 1089-40,횡단보도 주변(3m),2025.4.1
35,2025.4.1,서초구,서울특별시 서초구 서초동 1328-3,버스정류소 및 택시승강장 주변(5m 이내),2025.4.1
36,2025.4.1,강서구,서울특별시 강서구 화곡동 1089-40,횡단보도 주변(3m),2025.4.1
37,2025.4.1,강서구,서울특별시 강서구 화곡동 1065-22,지하철역 전면(5m이내),2025.4.1
38,2025.4.1,마포구,서울특별시 마포구 서교동 400-13,보도와 차도가 구분된 도로의 차도,2025.4.1
39,2025.4.1,관악구,서울특별시 관악구 신림동 504,상기 사항 외 보도,2025.4.1
40,2025.4.1,송파구,서울특별시 송파구 마천동 607,횡단보도 주변(3m),2025.4.1
41,2025.4.1,관악구,서울특별시 관악구 신림동 483,횡단보도 주변(3m),2025.4.1
42,2025.4.1,강서구,서울특별시 강서구 화곡동 354-65,보호구역(어린이·노인·장애인),2025.4.1
43,2025.4.1,관악구,서울특별시 관악구 신림동 1472-3,버스정류소 및 택시승강장 주변(5m 이내),2025.4.1
44,2025.4.1,관악구,서울특별시 관악구 신림동 513,횡단보도 주변(3m),2025.4.1
45,2025.4.1,마포구,서울특별시 마포구 동교동 160-7,보도와 차도가 구분된 도로의 차도,2025.4.1
46,2025.4.1,마포구,서울특별시 마포구 동교동 155-55,보도와 차도가 구분된 도로의 차도,2025.4.1
47,2025.4.1,관악구,서울특별시 관악구 신림동 1467-10,횡단보도 주변(3m),2025.4.1
48,2025.4.1,서대문구,서울특별시 서대문구 연희동 51-168,상기 사항 외 보도,2025.4.1
49,2025.4.1,송파구,서울특별시 송파구 거여동 657-12,횡단보도 주변(3m),2025.4.1
