번호,신고일,구정보,주소,유형,조치일,,,,,,,,,,,,,,,,,
1,2025.5.1,서대문구,서울특별시 서대문구 북가좌동 3-72,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
2,2025.5.1,송파구,서울특별시 송파구 문정동 76-9,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
3,2025.5.1,송파구,서울특별시 송파구 가락동 71-4,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
4,2025.5.1,송파구,서울특별시 송파구 문정동 89-14,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
5,2025.5.1,송파구,서울특별시 송파구 가락동 60,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
6,2025.5.1,송파구,서울특별시 송파구 가락동 70-20,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
7,2025.5.1,송파구,서울특별시 송파구 문정동 100-6,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
8,2025.5.1,송파구,서울특별시 송파구 가락동 65,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
9,2025.5.1,송파구,서울특별시 송파구 문정동 103-28,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
10,2025.5.1,은평구,서울특별시 은평구 불광동 281-7,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
11,2025.5.1,강서구,서울특별시 강서구 화곡동 668-10,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
12,2025.5.1,송파구,서울특별시 송파구 문정동 645,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
13,2025.5.1,서초구,서울특별시 서초구 서초동 1604-26,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
14,2025.5.1,서초구,서울특별시 서초구 서초동 1604-26,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
15,2025.5.1,송파구,서울특별시 송파구 문정동 645,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
16,2025.5.1,서초구,서울특별시 서초구 서초동 1604-26,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
17,2025.5.1,송파구,서울특별시 송파구 문정동 644,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
18,2025.5.1,강동구,서울특별시 강동구 둔촌동 174-1,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
19,2025.5.1,서초구,서울특별시 서초구 서초동 1612-25,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
20,2025.5.1,강동구,서울특별시 강동구 둔촌동 174-1,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
21,2025.5.1,송파구,서울특별시 송파구 가락동 195,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
22,2025.5.1,송파구,서울특별시 송파구 문정동 643-1,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
23,2025.5.1,서초구,서울특별시 서초구 서초동 1604-26,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
24,2025.5.1,서초구,서울특별시 서초구 서초동 1631-7,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
25,2025.5.1,송파구,서울특별시 송파구 문정동 647-3,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
26,2025.5.1,송파구,서울특별시 송파구 문정동 644,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
27,2025.5.1,서초구,서울특별시 서초구 서초동 1744-8,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
28,2025.5.1,서초구,서울특별시 서초구 서초동 1604-26,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
29,2025.5.1,서초구,서울특별시 서초구 서초동 1748-37,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
30,2025.5.1,강서구,서울특별시 강서구 화곡동 1089-23,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
31,2025.5.1,서초구,서울특별시 서초구 서초동 1748-40,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
32,2025.5.1,강서구,서울특별시 강서구 화곡동 1089-23,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
33,2025.5.1,강서구,서울특별시 강서구 화곡동 1089-23,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
34,2025.5.1,관악구,서울특별시 관악구 신림동 1674-9,교통섬 내부,2025.5.1,,,,,,,,,,,,,,,,,
35,2025.5.1,서초구,서울특별시 서초구 서초동 1748-30,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
36,2025.5.1,강동구,서울특별시 강동구 성내동 450-40,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
37,2025.5.1,서초구,서울특별시 서초구 서초동 1748-30,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
38,2025.5.1,서초구,서울특별시 서초구 서초동 1748-30,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
39,2025.5.1,송파구,서울특별시 송파구 송파동 15-4,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
40,2025.5.1,강서구,서울특별시 강서구 내발산동 724-39,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
41,2025.5.1,관악구,서울특별시 관악구 신림동 543-24,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
42,2025.5.1,서초구,서울특별시 서초구 서초동 1603-61,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
43,2025.5.1,송파구,서울특별시 송파구 송파동 61,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
44,2025.5.1,송파구,서울특별시 송파구 송파동 62,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
45,2025.5.1,강서구,서울특별시 강서구 내발산동 742-5,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
46,2025.5.1,서초구,서울특별시 서초구 서초동 1748-29,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
47,2025.5.1,서초구,서울특별시 서초구 서초동 1650,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
48,2025.5.1,관악구,서울특별시 관악구 신림동 543,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
49,2025.5.1,강서구,서울특별시 강서구 내발산동 742-5,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
50,2025.5.1,서초구,서울특별시 서초구 서초동 1748-28,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
51,2025.5.1,송파구,서울특별시 송파구 방이동 95-1,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
52,2025.5.1,서초구,서울특별시 서초구 서초동 1748-29,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
53,2025.5.1,서초구,서울특별시 서초구 서초동 1748-29,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
54,2025.5.1,송파구,서울특별시 송파구 송파동 65,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
55,2025.5.1,관악구,서울특별시 관악구 신림동 1671,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
56,2025.5.1,서초구,서울특별시 서초구 서초동 1630-1,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
57,2025.5.1,관악구,서울특별시 관악구 신림동 564,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
58,2025.5.1,관악구,서울특별시 관악구 신림동 564,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
59,2025.5.1,강서구,서울특별시 강서구 마곡동 770-7,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
60,2025.5.1,서초구,서울특별시 서초구 서초동 1374,지하철역 전면(5m이내),2025.5.1,,,,,,,,,,,,,,,,,
61,2025.5.1,서초구,서울특별시 서초구 서초동 1328-11,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
62,2025.5.1,서초구,서울특별시 서초구 서초동 1329-7,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
63,2025.5.1,서초구,서울특별시 서초구 서초동 1330-12,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
64,2025.5.1,서초구,서울특별시 서초구 서초동 1337-2,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
65,2025.5.1,서초구,서울특별시 서초구 서초동 1755,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
66,2025.5.1,서초구,서울특별시 서초구 서초동 1330-6,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
67,2025.5.1,관악구,서울특별시 관악구 봉천동 727-8,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
68,2025.5.1,서초구,서울특별시 서초구 서초동 1755-1,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
69,2025.5.1,관악구,서울특별시 관악구 봉천동 727-8,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
70,2025.5.1,서초구,서울특별시 서초구 서초동 1419,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
71,2025.5.1,강동구,서울특별시 강동구 둔촌동 19-7,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
72,2025.5.1,서초구,서울특별시 서초구 서초동 1380,보호구역(어린이·노인·장애인),2025.5.2,,,,,,,,,,,,,,,,,
73,2025.5.1,관악구,서울특별시 관악구 신림동 1467-13,교통섬 내부,2025.5.1,,,,,,,,,,,,,,,,,
74,2025.5.1,관악구,서울특별시 관악구 봉천동 산137-3,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
75,2025.5.1,강서구,서울특별시 강서구 가양동 1458-15,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
76,2025.5.1,은평구,서울특별시 은평구 역촌동 28-19,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
77,2025.5.1,강서구,서울특별시 강서구 가양동 1458-12,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
78,2025.5.1,서초구,서울특별시 서초구 서초동 1321-15,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
79,2025.5.1,강서구,서울특별시 강서구 가양동 155-1,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
80,2025.5.1,관악구,서울특별시 관악구 신림동 1467-9,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
81,2025.5.1,강서구,서울특별시 강서구 가양동 155-1,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
82,2025.5.1,강서구,서울특별시 강서구 가양동 422-99,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
83,2025.5.1,송파구,서울특별시 송파구 거여동 649,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
84,2025.5.1,송파구,서울특별시 송파구 거여동 657-11,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
85,2025.5.1,송파구,서울특별시 송파구 거여동 651,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
86,2025.5.1,강서구,서울특별시 강서구 마곡동 784,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
87,2025.5.1,서초구,서울특별시 서초구 서초동 1377,보도와 차도가 구분된 도로의 차도,2025.5.2,,,,,,,,,,,,,,,,,
88,2025.5.1,서대문구,서울특별시 서대문구 남가좌동 190-154,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
89,2025.5.1,은평구,서울특별시 은평구 수색동 8-14,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
90,2025.5.1,관악구,서울특별시 관악구 봉천동 62-17,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
